Group,Field,Gender,University,Semester
Web Development (Male) -  Group 2,Web Development,Male,COMSATS university Islamabad attock campus,5th
Web Development (Male) -  Group 4,Web Development,Male,Numl,5th
Web Development (Male) -  Group 4,Web Development,Male,Air University Islamabad,5th
Accounts & Finance (Male) -  Group 1,Accounts & Finance,Male,Salim Habib University,5th 
Data Science (Male) -  Group 2,Data Science,Male,Muhammad Ali Jinnah University,5th 
Web Development (Male) -  Group 3,Web Development,Male,Muhammad Ali Jinnah University,5th completed
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,"Bahria University, Karachi Campus.",6th
Accounts & Finance (Male) -  Group 1,Accounts & Finance,Male,COMSATS University Islamabad,6th
AI/ML (Female) -  Group 1,AI/ML,Female,Rawalpindi Women University,6th
AI/ML (Female) -  Group 2,AI/ML,Female,Air University Islamabad,6th
AI/ML (Female) -  Group 3,AI/ML,Female,UET Taxila,6th
AI/ML (Female) -  Group 3,AI/ML,Female,SZABIST Islamabad,6th
AI/ML (Female) -  Group 3,AI/ML,Female,COMSATS University Islamabad,6th
AI/ML (Female) -  Group 4,AI/ML,Female,Comsats University Islamabad Campus Vehari,6th
AI/ML (Female) -  Group 5,AI/ML,Female,COMSATS University Islamabad,6th
AI/ML (Female) -  Group 5,AI/ML,Female,COMSATS University Islamabad,6th
AI/ML (Female) -  Group 6,AI/ML,Female,Air University Islamabad,6th
AI/ML (Female) -  Group 6,AI/ML,Female,Rawalpindi Women University,6th
AI/ML (Female) -  Group 7,AI/ML,Female,Muhammad Ali Jinnah University,6th
AI/ML (Male) -  Group 1,AI/ML,Male,COMSATS University Islamabad,6th
AI/ML (Male) -  Group 1,AI/ML,Male,University of gujrat,6th
AI/ML (Male) -  Group 2,AI/ML,Male,"Comsats University Islamabad, Lahore Campus",6th
AI/ML (Male) -  Group 2,AI/ML,Male,COMSATS University Islamabad,6th
AI/ML (Male) -  Group 2,AI/ML,Male,National university of science and technology (NUST),6th
AI/ML (Male) -  Group 3,AI/ML,Male,Bahria University,6th
AI/ML (Male) -  Group 3,AI/ML,Male,Lahore Garrison University,6th
AI/ML (Male) -  Group 3,AI/ML,Male,NUST - SEECS - H12,6th
AI/ML (Male) -  Group 3,AI/ML,Male,NUST,6th
AI/ML (Male) -  Group 4,AI/ML,Male,Lahore Garrison University,6th
AI/ML (Male) -  Group 4,AI/ML,Male,Pafiast,6th
AI/ML (Male) -  Group 6,AI/ML,Male,Federal Urdu University Islamabad,6th
AI/ML (Male) -  Group 6,AI/ML,Male,"Capital University of Science and Technology, Islamabad",6th
Blue Team / SOC (Female) -  Group 2,Blue Team / SOC,Female,National University of Modern Languages (NUML) Islamabad,6th
Blue Team / SOC (Male) -  Group 2,Blue Team / SOC,Male,"Wah Engineering College, University of Wah",6th
Blue Team / SOC (Male) -  Group 2,Blue Team / SOC,Male,Sindh Madarssatul Islam University,6th
Business & Management (Male) -  Group 1,Business & Management,Male,COMSATS University Islamabad,6th
Data Science (Male) -  Group 2,Data Science,Male,Muhammad Ali Jinnah University,6th
Data Science (Male) -  Group 2,Data Science,Male,Sindh Madarssatul Islam University,6th
Data Science (Male) -  Group 2,Data Science,Male,Szabist Karachi,6th
HR (Female) -  Group 1,HR,Female,University of wah,6th
Marketing & Lead Generation (Female) -  Group 1,Marketing & Lead Generation,Female,Rawalpindi Women University,6th
Marketing & Lead Generation (Male) -  Group 1,Marketing & Lead Generation,Male,COMSATS University Islamabad,6th
Red Teaming (Female) -  Group 2,Red Teaming,Female,Bahria University Islamabad,6th
Red Teaming (Female) -  Group 2,Red Teaming,Female,SMIU,6th
Red Teaming (Female) -  Group 2,Red Teaming,Female,"Comsats University Islamabad, Lahore Campus",6th
SQA (Female) -  Group 1,SQA,Female,NUML university,6th
SQA (Female) -  Group 1,SQA,Female,Rawalpindi Women University,6th
SQA (Female) -  Group 1,SQA,Female,Rawalpindi Women University,6th
Web Development (Female) -  Group 2,Web Development,Female,Aptech learning institute,6th
Web Development (Female) -  Group 2,Web Development,Female,Riphah international University,6th
Web Development (Female) -  Group 3,Web Development,Female,Riphah international University,6th
Web Development (Female) -  Group 4,Web Development,Female,Fatima Jinnah Women University,6th
Web Development (Female) -  Group 4,Web Development,Female,Quaid-e-Azam university Islamabad,6th
Web Development (Female) -  Group 5,Web Development,Female,Szabist,6th
Web Development (Female) -  Group 5,Web Development,Female,NUST,6th
Web Development (Male) -  Group 3,Web Development,Male,Air University Islamabad,6th
Web Development (Male) -  Group 4,Web Development,Male,Muhammad Ali Jinnah University,6th
Web Development (Male) -  Group 4,Web Development,Male,Muhammad Ali Jinnah University,6th
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,National university of computer and emergence science,6th completed
AI/ML (Female) -  Group 4,AI/ML,Female,Air University Islamabad,6th completed
AI/ML (Female) -  Group 4,AI/ML,Female,SZABIST Islamabad,6th completed
AI/ML (Male) -  Group 5,AI/ML,Male,SZABIST Islamabad,6th completed
AI/ML (Male) -  Group 5,AI/ML,Male,Khwaja fareed university of engineering and information technology,6th completed
Blue Team / SOC (Female) -  Group 2,Blue Team / SOC,Female,International Islamic University Islamabad,6th completed
Data Science (Female) -  Group 1,Data Science,Female,Rawalpindi Women University,6th completed
Red Teaming (Female) -  Group 1,Red Teaming,Female,Quaid-e-Azam university Islamabad,6th completed
SQA (Female) -  Group 1,SQA,Female,Rawalpindi Women University,6th completed
Web Development (Female) -  Group 2,Web Development,Female,Shaheed Zulfiqar Ali Bhutto Institute of Science &  Technology Islamabad,6th completed
Web Development (Female) -  Group 2,Web Development,Female,University of gujrat,6th completed
Web Development (Female) -  Group 3,Web Development,Female,HITEC University Taxilla,6th completed
Web Development (Female) -  Group 4,Web Development,Female,HITEC University Taxilla,6th completed
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,Muhammad Ali Jinnah University,7th
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,NUST,7th
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,NUST,7th
